"","Group","ZoopMeanBiomass","GroupCat"
"1","Total Zooplankton",3.5316274759334,"TotZP"
"2","Bythotrephes",90.6207383348296,"MajorGroup"
"3","Calanoida",4.65460603291349,"MajorGroup"
"4","Cladocera",4.94875078753534,"MajorGroup"
"5","Cyclopoida",2.26539140660595,"MajorGroup"
"6","Harpacticoida",1.12992066124514,"MajorGroup"
"7","Rotifer",0.339779391981226,"MajorGroup"
"8","Veneroida",0.465,"MajorGroup"
"9","Bosmina",1.64161077899571,"MinorGroup"
"10","Ceriodaphnia",0.888494385111025,"MinorGroup"
"11","Chydorids",1.10885898500501,"MinorGroup"
"12","Daphnia",6.65281990058502,"MinorGroup"
"13","Diaphanosoma",3.37962521762714,"MinorGroup"
"14","Eubosmina",2.80343501907618,"MinorGroup"
"15","Leptodora",12.1196563648423,"MinorGroup"
"16","Rotifer",0.339779391981226,"MinorGroup"
